# TESS Program G022056

Title: The Driving Mechanism For Magnetic Field Generation In Low Mass Stars

PI: Doyle, Lauren - Armagh Observatory And Planetarium

Type: SMALL

Summary: Detailed studies of the Sun have shown sunspots and solar flares are closely correlated. It is widely thought that the rotational modulation seen in late type dwarfs is due to a dominant starspot rotating into and out of view. We therefore naively predict that flares would be observed more often at rotation flux minimum. However, our observations using Kepler/K2 and now TESS have shown that flares show no preference for rotation phase. This makes us reassess how large scale magnetic fields are generated on low mass, fully convective stars. Here we bid for 2 min cadence observations of 155 low mass stars in TESS Cycle 2. With this increased sample we will search for correlations between activity, spectral type, rotation period and age.
63717991,33.8945,33.9593,10.98,G022252;G022056;G022198
22750743,38.4052,24.9234,10.2,G022076;G022252;G022198;G022056
246943507,34.7615,23.8815,11.42,G022056;G022198
247020601,38.8437,23.5748,11.12,G022056;G022198
436856183,41.0699,25.5214,8.28,G022198;G022080;G022056
125736050,56.5863,26.2144,7.91,G022109;G022148;G022056
405461329,52.2079,26.486,10.87,G022056
285903673,31.7959,64.2856,11.56,G022252;G022056
252110114,15.495,54.182,11.68,G022076;G022252;G022198;G022056
52183206,15.8414,62.366,10.48,G022076;G022252;G022198;G022056
250602194,32.2254,49.4474,10.03,G022252;G022109;G022113;G022056;G022148;G022198
272335628,356.005,64.7419,9.46,G022056;G022198
435160829,346.5224,63.9259,9.06,G022125;G022252;G022113;G022056;G022198
379084450,15.6651,71.6777,7.75,G022198;G022080;G022056
407574350,3.4198,80.6668,9.15,G022056;G022198
406857100,274.7444,66.1901,10.53,G022076;G022198;G022056
288634843,278.9699,80.0955,10.59,G022198;G022056
230120143,250.0821,67.6033,11.98,G022164;G022076;G022198;G022056
233068870,270.5717,64.2602,10.34,G022252;G022076;G022198;G022113;G022056

# Sector 019 targets observed (10)
84649454,63.0773,64.7297,10.87,G022076;G022252;G022198;G022056
274545692,69.4233,52.891,7.04,G022187;G022080;G022056;G022198
8890043,66.9234,59.5869,11.7,G022056
53255031,89.982,58.5695,10.74,G022252;G022076;G022198;G022148;G022109;G022238;G022056
379084450,15.6652,71.6777,7.75,G022198;G022080;G022056
407574350,3.4199,80.6668,9.15,G022056;G022198
289972535,118.9606,83.3814,10.43,G022252;G022076;G022198;G022056
288634843,278.9699,80.0955,10.59,G022198;G022056
230120143,250.082,67.6033,11.98,G022164;G022076;G022198;G022056
233068870,270.5717,64.2602,10.34,G022252;G022076;G022198;G022113;G022056

# Sector 020 targets observed (11)
307757953,112.7553,46.0068,11.6,G022056;G022238;G022252
144282456,97.9614,41.4948,11.61,G022252;G022148;G022113;G022109;G022056
253011416,97.7539,50.0458,9.22,G022056;G022198
165204611,105.8461,34.6984,10.46,G022252;G022076;G022198;G022056
142439883,145.7046,70.0379,8.86,G022198;G022171;G022080;G022238;G022056
86232609,139.8419,62.0525,9.56,G022156;G022145;G022056;G022198
289972535,118.9606,83.3814,10.43,G022252;G022076;G022198;G022056
288634843,278.9699,80.0955,10.59,G022198;G022056
230120143,250.082,67.6033,11.98,G022164;G022076;G022198;G022056
233068870,270.5717,64.2602,10.34,G022252;G022076;G022198;G022113;G022056
406857100,274.7445,66.1901,10.53,G022076;G022198;G022056

# Sector 021 targets observed (20)
157835109,149.8275,43.8392,11.32,G022238;G022056
157835110,149.8364,43.8392,11.56,G022238;G022056
4972033,148.9314,35.3599,10.41,G022056;G022198
29168887,135.1315,46.5835,10.42,G022252;G022076;G022198;G022056
355175840,139.8276,38.5231,11.8,G022056
355175842,139.8273,38.5211,11.69,G022238;G022056
117159425,129.3441,26.2045,11.61,G022056
3664898,127.4487,26.7726,10.5,G022164;G022252;G022076;G022198;G022056
88099283,148.4778,20.9485,10.97,G022252;G022076;G022198;G022056
302699294,168.9734,55.3302,9.46,G022056;G022198
142439883,145.7046,70.0379,8.86,G022198;G022171;G022080;G022238;G022056
297961454,157.8775,57.0892,11.44,G022198;G022056
86232609,139.8418,62.0525,9.56,G022156;G022145;G022056;G022198
251078597,138.5884,52.6827,6.05,G022125;G022187;G022080;G022056
148836026,162.6576,51.7504,11.48,G022198;G022056
311578368,159.6225,48.5286,11.03,G022056;G022198
288634843,278.9699,80.0955,10.59,G022198;G022056
230120143,250.082,67.6033,11.98,G022164;G022076;G022198;G022056
233068870,270.5717,64.2601,10.34,G022252;G022076;G022198;G022113;G022056
406857100,274.7445,66.1901,10.53,G022076;G022198;G022056
